#,Entity Name,Type,Store / Purpose,TIN,RDO Code,VAT Status,Notes,_source_row
1,Bebang Enterprise Inc.,Corporation,Head Office,647-243-690-00000,RDO 041,VAT Registered,,5
2,Bebang Kitchen Inc,Corporation,Commissary,010-880-681-00001,RDO 041,VAT Registered,,6
3,Resto Tech Inc,Corporation,Head Office,655-821-050-00000,RDO 041,VAT Registered,,7
4,Irresistible Infusions Inc,Corporation,Head Office,634-954-873-00000,RDO 041,VAT Registered,,8
5,Bebang Shaw Inc,Corporation,Commissary,651-116-069-00000,RDO 041,VAT Registered,,9
6,Bebang Enterprise Inc.,Corporation,SM Megamall,647-243-690-00001,RDO 041,VAT Registered,,10
7,Bebang Market Market Inc.,Corporation,Ayala Market! Market!,656-572-595-00001,RDO 044,VAT Registered,,11
8,Bebang Enterprise Inc.,Corporation,SM Manila,647-243-690-00002,RDO 033,VAT Registered,,12
9,Bebang Enterprise Inc.,Corporation,SM Southmall,647-243-690-00004,RDO 53A,VAT Registered,,13
10,BEBANG FT INC.,Corporation,Ayala Fairview Terraces,663-440-106-00001,RDO 028,VAT Registered,,14
11,Bebang North Edsa,Corporation,SM North EDSA,663-447-579-00001,RDO 038,VAT Registered,,15
12,Bebang SMV Inc.,Corporation,SM Valenzuela,665-313-198-00001,RDO 024,VAT Registered,,16
13,Bebang LCT Inc,Corporation,Lucky China Town,665-462-689-00001,RDO 030,VAT Registered,,17
14,Bebang Enterprise Inc.,Corporation,Robinsons Place Antipolo,647-243-690-00005,RDO 045,VAT Registered,,18
15,Bebang Starmall Alabang Inc.,Corporation,The Terminal Exchange,670-277-140-00001,RDO 53B,VAT Registered,,19
16,Bebang Grand Central Inc.,Corporation,SM Grand Central,010-880-753-00001,RDO 027,VAT Registered,,20
17,Bebang SM Marikina Inc.,Corporation,SM Marikina,670-282-332-00001,RDO 045,VAT Registered,,21
18,Bebang Paseo Inc,Corporation,Paseo Center,010-880-720-00001,RDO 050,VAT Registered,,22
19,Bebang PITX Inc,Corporation,PITX Terminal,010-880-712-00001,RDO 052,VAT Registered,,23
20,Bebang SMEO Inc,Corporation,SM East Ortigas,665-312-808-00001,RDO 043,VAT Registered,TIN format confirmed by Alyssa 2026-02-27 (was: 665 312 808 00001),24
21,Bebang Venice Grand Canal Inc.,Corporation,Venice Grand Canal,010-880-690-00001,RDO 044,VAT Registered,,25
22,Bebang Festival Inc.,Corporation,Festival Mall Alabang,672-618-586-00001,RDO 53B,VAT Registered,,26
23,Bebang SMOA Inc.,Corporation,SM Mall of Asia,665-459-236-00001,RDO 051,VAT Registered,,27
24,Bebang BF Homes Inc.,Corporation,BF Homes Paranaque (Aguirre Ave.),673-762-767-00000,RDO 052,VAT Registered,,28
25,Legacy77 Food Corp,Corporation,SM San Jose Del Monte,691-654-007-00000,RDO 044,VAT Registered,,29
26,Bebang Mega Inc,Corporation,SM Tanza,010-885-436-00001,RDO 054B,VAT Registered,,30
27,Tungsten Capital Holdings OPC,Corporation,SM Sangandaan,679-843-234-00001,RDO 027,VAT Registered,,31
28,Bebang Marilao Inc,Corporation,SM Marilao,675-267-457-00001,RDO 025B,VAT Registered,,32
29,Bebang SM Bicutan Inc.,Corporation,SM Bicutan,010-887-661-00001,RDO 052,VAT Registered,,33
30,TAJ Food Corp,Corporation,SM Caloocan,681-325-053-00001,RDO 027,VAT Registered,,34
31,Bebang Mega Inc,Corporation,Robinsons Place Imus,010-885-436-00002,RDO 54A,VAT Registered,,35
32,Bebang UP Town Center Inc.,Corporation,Ayala UP Town Center,675-270-405-00001,RDO 039,VAT Registered,,36
33,Bebang Mega Inc,Corporation,Ayala Evo City,010-885-436-00004,RDO 54B,VAT Registered,,37
34,Bebang Mega Inc,Corporation,Ayala Vermosa,010-885-436-00005,RDO 54A,VAT Registered,,38
35,Bebang Mega Inc,Corporation,Robinsons Place Gen. Trias,010-885-436-00003,RDO 54B,VAT Registered,,39
36,Bebang SMM Inc.,Corporation,SM Center Pulilan,662-567-267-00001,RDO 25A,VAT Registered,,40
37,HFFM Solenad Food Services Inc.,Corporation,Ayala Solenad 2,681-476-808-00001,RDO 057,VAT Registered,,41
38,Bebang SM Marikina Inc.,Corporation,Sta. Lucia East Grand Mall,670-282-332-00002,RDO 046,VAT Registered,,42
39,Tungsten Capital Holdings OPC,Corporation,Robinsons Galleria South,679-843-234-00002,RDO 057,VAT Registered,,43
40,Halo-Halo Terminal Food Corp.,Corporation,NAIA T3 (Departure),690-528-808-00000,RDO 051,VAT Registered,,44
41,DMD Holdings Inc,Corporation,Uptown Mall,649-154-841-00000,RDO 041,VAT Registered,TIN corrected by Butch 2026-02-27 (was: 634-954-873-00000 = duplicate of Irresistible Infusions),45
42,Red Taldawa Foods. OPC,Corporation,SM Clark,687-525-727-00007,RDO 21A ,VAT Registered,,46
43,B Cubed Ventures Corp.,Corporation,Tomas Morato (CTTM Square),682-574-745-00001,RDO 039,VAT Registered,,47
44,Tricern Food Corp.,Corporation,Vista Mall Taguig,010-038-108-00005,RDO 044,VAT Registered,,48
45,Tungsten Capital Holdings Inc.,Corporation,Food Express (Gateway Mall),679-843-234-00003,RDO 040,VAT Registered,,49
46,Everyday Delight Food Ventures Inc.,Corporation,Robinsons Place Dasmarinas,,,VAT Registered,"NOT BIR REGISTERED AS OF FEB 23, 2026. Store NOT yet operating. Registration c/o Admin (lease signature delay forwarded to BD). Confirmed 2026-02-27.",50
47,Day Ones Food and Drink Establishments Corp.,Corporation,SM Taytay,010-939-944-00000,RDO 049,VAT Registered,,51
48,TAJ Food Corp,Corporation,D'Verde Calamba,681-325-053-00002,RDO 056,VAT Registered,,52
49,BEIFranchise Food OPC,Corporation,Ortigas Greenhills,688-721-280-00001,RDO 042,VAT Registered,,53
50,BB Estancia Food Corp.,Corporation,Ortigas Estancia,693-136-289-00001,RDO 043,VAT Registered,,54
51,SM Sta. Rosa,Corporation,Sweet Harmony Food Corp,691-378-334-00000,RDO 057,VAT Registered,,55
TOTAL ENTITIES: 51,,,,50,50,50,,56
