defect_id,severity,status,title,observed,expected,recommended_sprint,evidence_paths
1,CRITICAL,PARTIALLY_FIXED,OT filing UI deployed but blocked by #19 and #20,"S170 Phase 3 deployed /dashboard/hr/overtime/apply but: (a) RoleGuard excludes ROLES.CREW so crew cannot access it (Defect #19); (b) submit fails with ValidationError: No attendance record found on 2026-04-06 (Defect #20 — test env limitation)","OT filing accessible to crew role; form submits successfully against an attendance record","S171","output/l3/s166/lanes/retest/r2_fix/R2_FIX_SUMMARY.md; output/l3/s166/lanes/retest/r2_overtime/R2_SUMMARY.md; output/l3/s166/lanes/lane_d/OT_DIAGNOSTIC.md"
2,HIGH,CLOSED,Leave Ledger Entry pipeline broken (R1 verified fixed),"Lane D EMP-LEAVE-003: HR-LAP-2026-00118 Approved (docstatus=1) but Leave Ledger Entry returned empty array. Production leave balances would not deduct.","Approved Leave Application creates Leave Ledger Entry row with leaves=-1","S170 (FIXED — Phase 1 backfill script verified by R1)","output/l3/s166/lanes/lane_d/SUMMARY.md; output/l3/s166/lanes/retest/r1_leave_ledger/R1_SUMMARY.md"
3,CRITICAL,CLOSED,Compensation [employee] route empty shell (R3 verified fixed),"Lane A SPIKE: editBtnFound=false editorInputs=0 — compensation-setup/[employee] page rendered no editable salary fields. The page file was a Dialog component masquerading as a Page component.","Full compensation page with editable salary fields","S170 (FIXED — Phase 2 deployed; R3 confirmed EMP-UX-004 PASS_POST_FIX)","output/l3/s166/lanes/lane_a/SPIKE_EDIT_COMP_RESULT.md; output/l3/s166/lanes/retest/r3_ux_reobserve/R3_SUMMARY.md"
4,CRITICAL,CLOSED,Clearance doctypes do not exist (R3 + R5 verified module renders),"Lane A A5a: BEI Clearance / BEI Clearance Station / BEI Clearance Item DocTypes absent. All EMP-TERMINATE-* scenarios SKIP. Clearance module was read-only milestone tracker (EMP-STUB-005 COLLATERAL).","Clearance module with station assignment item tracking and Documenso e-signature","S170 (FIXED — Phase 4 deployed minimum-viable clearance; R3 confirmed EMP-STUB-005 PASS_POST_FIX; note: Documenso deferred)","output/l3/s166/lanes/lane_a/LANE_A_FINAL_SUMMARY.md; output/l3/s166/lanes/lane_f/SUMMARY.md; output/l3/s166/lanes/retest/r5_probe/R5_PROBE_SUMMARY.md"
5,HIGH,UNTESTED,Generate Slips button disabled,"Lane G EMP-PAYROLL-RUN-001 FAIL: Generate Slips button disabled in payroll processing UI for current period (Apr 2026). No salary slips exist for period. Button could not be triggered.","HR can initiate payroll generation for any period via Generate Slips button","S171 triage","output/l3/s166/lanes/lane_g/SUMMARY.md; output/l3/s166/lanes/lane_g/RUN_SIDE_EFFECTS.md"
6,CRITICAL,CLOSED,List-page compensation modal empty (R3 verified fixed),"Lane F EMP-UX-004 COLLATERAL: Compensation Setup list modal showed only Bio ID — no editable salary fields. Root cause: same as Defect #3 (Dialog component as Page).","Compensation modal shows salary structure components and edit controls","S170 (FIXED — Phase 2 fix confirmed by R3 EMP-UX-004 PASS_POST_FIX)","output/l3/s166/lanes/lane_f/SUMMARY.md; output/l3/s166/lanes/retest/r3_ux_reobserve/R3_SUMMARY.md"
7,CRITICAL,CLOSED,Finance approve/reject ambiguous for sensitive changes (R3 verified),"Lane F EMP-UX-005 DEFECT_NOT_REPRODUCED in original run. R3 re-observed post S170: EMP-UX-005 PASS_POST_FIX — Finance can approve/reject sensitive salary changes from UI.","Finance role has visible Approve/Reject buttons on sensitive-changes queue","S170 (FIXED — confirmed by R3)","output/l3/s166/lanes/lane_f/SUMMARY.md; output/l3/s166/lanes/retest/r3_ux_reobserve/R3_SUMMARY.md"
8,HIGH,OPEN,create_employee_direct returns cached employee_id constant,"Lane C: create_employee_direct API response always returns employee_id='BEI-EMP-2026-00004' regardless of which employee was actually created. Docname must be resolved via separate Desk list query.","API response returns the actual created employee docname","S171","output/l3/s166/lanes/lane_c/SUMMARY.md; output/l3/s166/lanes/lane_c/DEFECTS.csv"
9,MEDIUM,OPEN,test.hr proxy permission gap on /api/frappe/api/resource/Employee,"Lane C: /api/frappe/api/resource/Employee returns 403 via my.bebang.ph proxy for test.hr. frappe.client.get_list not whitelisted. Blocks any downstream workflow requiring docname lookup after employee creation.","test.hr can read Employee list via proxy API for workflow operations","S171","output/l3/s166/lanes/lane_c/SUMMARY.md; output/l3/s166/lanes/lane_c/DEFECTS.csv"
10,DISPUTED,OPEN,employee-master dashboard vs list behavior,"Wave 0 preconditions expected a searchable Employee list table. Lane C found /dashboard/hr/employee-master renders aggregate dashboard cards + filter pills — not a searchable table with row links. Blocks UI-based docname resolution.","Searchable employee list with clickable rows and docname access","Triage: product decision on dashboard vs list design","output/l3/s166/lanes/lane_c/SUMMARY.md"
11,LOW,OPEN,Soft-delete order dependency (relieving_date before status),"Lane C: set_value(status=Left) BEFORE set_value(relieving_date) returns ValidationError: Please enter relieving date. Order must be relieving_date first.","Either order accepted OR clear error guides correct order","S171 (minor hardening)","output/l3/s166/lanes/lane_c/SUMMARY.md"
13,MEDIUM,OPEN,emergency_phone_number silently dropped on Employee save,"Lane A A2: EMP-EDIT-CONTACT-002 FAIL — Emergency contact middle_name field not exposed in EmployeeDetailDialog contact section. The form has no input for this field.","Emergency contact middle_name editable in contact section","S171","output/l3/s166/lanes/lane_a/LANE_A_FINAL_SUMMARY.md; output/l3/s166/lanes/lane_a/PHASE_A2_SUMMARY.md"
14,MEDIUM,OPEN,Reports To field has no autocomplete,"Lane A A2: EMP-EDIT-EMPLOYMENT-003 SKIP — Reports To field in EmployeeDetailDialog employment section has no suggestion dropdown or autocomplete. HR must type exact employee name.","Reports To field has searchable autocomplete/combobox","S171","output/l3/s166/lanes/lane_a/PHASE_A2_SUMMARY.md"
15,LOW,OPEN,First-of-session BSCR silently rolled back,"Lane A A5c (CONFLICT-001 related): first BSCR in a new browser session may be silently rolled back before server acknowledgment. Subsequent saves succeed. Intermittent behavior.","All BSCRs persist regardless of session freshness","S171 (investigation)","output/l3/s166/lanes/lane_a/PHASE_A5c_SUMMARY.md"
16,HIGH,UNVERIFIED,_activate_compensation_change silent failure (R4 blocked by #21),"Lane A A4: EMP-SALARY-CHANGE-002 FAIL — BCC approved in dual-control queue but Salary Structure Assignment not activated afterwards. R4 could not retest because all update_compensation API calls failed (Defect #21 Frappe routing failure — hrms.api.payroll vs hrms.api.payroll_compensation).","BCC approval automatically activates corresponding Salary Structure Assignment","S171 (pending fix of Defect #21 Frappe routing)","output/l3/s166/lanes/lane_a/PHASE_A4_SUMMARY.md; output/l3/s166/lanes/retest/r4_emp_retest/R4_SUMMARY.md; output/l3/s166/lanes/retest/r5_probe/R5_PROBE_SUMMARY.md"
18,HIGH,OPEN,BEI Incident Report.store is Link Warehouse but UI passes Branch name,"Lane A A5b: EMP-DISCIPLINARY-001 DEFECT-PASS — disciplinary case form submits successfully in browser but backend returns 417. Root cause: BEI Incident Report.store field links to Store/Warehouse DocType but the UI passes a Branch name string. Link validation fails.","BEI Incident Report.store field accepts Branch name OR form uses correct linked field","S171","output/l3/s166/lanes/lane_a/PHASE_A5b_SUMMARY.md; output/l3/s166/lanes/lane_a/LANE_A_FINAL_SUMMARY.md"
19,HIGH,NEW,/dashboard/hr/overtime/apply RoleGuard excludes ROLES.CREW,"R2-Fix: test.crew1 gets restricted=true hasForm=false on /overtime/apply. Only test.hr test.supervisor test.area can access the form. ROLES.CREW is not in the allowed roles list for the OT filing page.","Crew role can access OT filing form (crew members file their own overtime)","S171","output/l3/s166/lanes/retest/r2_fix/R2_FIX_SUMMARY.md; output/l3/s166/lanes/retest/r2_fix/evidence/EMP-OVERTIME-001-retest2.json"
20,MEDIUM,NEW,OT filing API requires pre-existing attendance record (test env limitation),"R2-Fix: EMP-OVERTIME-001 FAIL — create_overtime_request returns ValidationError: No attendance record found on 2026-04-06. Overtime can only be filed for days you actually worked. Test environment has no attendance records for test.hr on that date.","OT API accepts OT filing for any valid date (or: test environment has seeded attendance records)","S171 (note: may be valid product rule — test environment needs attendance seed data)","output/l3/s166/lanes/retest/r2_fix/R2_FIX_SUMMARY.md"
21,HIGH,NEW,Comp page Edit button gated on existing SSA — chicken-and-egg for new employees,"R5 Probe: compensation-detail-panel.tsx line 165 has disabled={!detail}. get_employee_compensation_detail returns null when no Salary Structure Assignment exists. This makes the Edit button permanently disabled for new employees who have never had a salary set — HR cannot create the first SSA via the UI. Must use API directly (which itself has Frappe routing defect #21-Fix3).","Edit button enabled for new employees (shows empty form); OR separate Create SSA flow available","S171","output/l3/s166/lanes/retest/r5_probe/R5_PROBE_SUMMARY.md; output/l3/s166/lanes/retest/r5_probe/COMP_EDIT_BUTTON_PROBE.md"
